county, year, labforce, employed
13071,2000,19350,18447
13073,2000,47195,45805
13075,2000,7260,6926
13077,2000,48664,47041
13079,2000,5869,5633
13081,2000,9729,9269
13083,2000,7703,7469
13085,2000,9021,8774
13087,2000,12298,11737
13089,2000,380802,368116
13091,2000,8505,8096
13093,2000,4793,4561
13095,2000,41490,39301
13097,2000,51398,49859
13099,2000,5356,5084
13101,2000,1857,1792
13103,2000,19004,18398
13105,2000,9710,9195
13107,2000,9933,9364
13109,2000,4690,4485
13111,2000,9070,8712
13113,2000,49730,48393
13115,2000,44685,42959
13117,2000,57230,55837
13119,2000,9934,9540
13121,2000,429759,414781
13123,2000,11300,10920
13125,2000,1189,1140
13127,2000,34787,33548
13129,2000,24302,23474
13131,2000,11001,10507
13133,2000,6371,6085
13135,2000,346112,336524
13137,2000,18359,17709
13139,2000,73522,71319
13141,2000,3274,3015
13143,2000,12391,11945
13145,2000,12901,12491
13147,2000,11367,10910
13149,2000,5124,4918
13151,2000,67461,65635
13153,2000,53584,51743
13155,2000,4537,4325
13157,2000,21347,20662
13159,2000,5774,5586
13161,2000,5783,5513
13163,2000,6764,6307
13165,2000,3727,3527
13167,2000,3401,3193
13169,2000,11787,11327
13171,2000,8045,7681
13173,2000,3332,3167
13175,2000,21401,20416
13177,2000,13142,12688
13179,2000,19618,18576
13181,2000,3771,3552
13183,2000,4317,4158
13185,2000,43444,41485
13187,2000,10903,10577
13189,2000,9898,9457
13191,2000,4890,4678
13193,2000,5419,5055
13195,2000,13797,13344
13197,2000,3321,3188
13199,2000,10129,9666
13201,2000,3253,3117
13205,2000,9907,9394
13207,2000,11349,10924
13209,2000,3918,3690
13211,2000,8170,7886
13213,2000,19601,18935
13215,2000,83631,79637
13217,2000,32279,31214
13219,2000,14334,13963
13221,2000,6624,6421
13223,2000,45732,44497
13225,2000,10808,10311
13227,2000,12476,12097
13229,2000,7635,7325
13231,2000,6979,6719
13233,2000,17583,16855
13235,2000,4369,4189
13237,2000,9040,8717
13239,2000,1041,974
13241,2000,7267,7032
13243,2000,3003,2823
13245,2000,87167,83280
13247,2000,36870,35713
13249,2000,1715,1644
13251,2000,6598,6271
13253,2000,4007,3807
13255,2000,28104,26882
13257,2000,13206,12724
13259,2000,2086,1971
13261,2000,15318,14677
13263,2000,2849,2692
13265,2000,848,804
13267,2000,8848,8331
13269,2000,3407,3225
13271,2000,4427,4081
13273,2000,4654,4406
13275,2000,19832,18989
13277,2000,18903,18114
13279,2000,12239,11428
13281,2000,4249,4064
13283,2000,2634,2426
13285,2000,30066,28969
13287,2000,4366,4121
13289,2000,4597,4392
13291,2000,8098,7775
13293,2000,12798,12143
13295,2000,30410,29323
13297,2000,32489,31464
13299,2000,15209,14436
13301,2000,2641,2494
13303,2000,8567,8157
13305,2000,11350,10783
13307,2000,1069,1028
13309,2000,2306,2161
13311,2000,10819,10434
13313,2000,43622,42072
13315,2000,3251,3096
13317,2000,5039,4802
13319,2000,4510,4315
13321,2000,10288,9834
15001,2000,73877,70165
15003,2000,430891,413120
15007,2000,30231,28769
15009,2000,70949,68160
16001,2000,169932,164171
16003,2000,1920,1728
16005,2000,38180,36401
16007,2000,2947,2802
16009,2000,4003,3560
16011,2000,19688,18819
16013,2000,11800,11380
16015,2000,3418,3250
16017,2000,17617,16256
16019,2000,41423,40005
16021,2000,4195,3870
16023,2000,1443,1380
16025,2000,535,515
16027,2000,65786,62838
16029,2000,3259,3092
16031,2000,10262,9753
16033,2000,529,501
16035,2000,3691,3202
16037,2000,2591,2446
16039,2000,10598,9990
16041,2000,5205,5036
16043,2000,5625,5353
16045,2000,7012,6652
16047,2000,7075,6803
16049,2000,6953,6366
16051,2000,8989,8650
16053,2000,9136,8737
16055,2000,56292,52720
16057,2000,17577,16826
16059,2000,3808,3502
16061,2000,1745,1631
16063,2000,2157,2062
16065,2000,12693,12243
16067,2000,10131,9550
16069,2000,18878,17890
16071,2000,1983,1915
16073,2000,4775,4588
16075,2000,9789,9126
16077,2000,3591,3384
16079,2000,6036,5441
16081,2000,3652,3544
16083,2000,33608,32192
16085,2000,4111,3834
16087,2000,5196,4843
17001,2000,36253,35001
17003,2000,3651,3387
17005,2000,8371,8030
17007,2000,22241,21232
17009,2000,2812,2722
17011,2000,19286,18401
17013,2000,2559,2428
17015,2000,8688,8222
17017,2000,7155,6847
17019,2000,100039,96792
17021,2000,17606,16730
17023,2000,8791,8389
17025,2000,7231,6824
17027,2000,18499,17845
17029,2000,28403,27309
17031,2000,2729293,2597449
17033,2000,9665,9153
17035,2000,5886,5623
17037,2000,51750,50031
17039,2000,9237,8765
17041,2000,10432,10050
17043,2000,529864,512199
17045,2000,9955,9539
17047,2000,3676,3497
17049,2000,18507,17744
17051,2000,10323,9722
17053,2000,7387,7130
17055,2000,17682,16546
17057,2000,17802,16879
17059,2000,2896,2730
17061,2000,7001,6653
17063,2000,21100,19993
17065,2000,4026,3835
17067,2000,10949,10490
17069,2000,1963,1842
17071,2000,4328,4162
17073,2000,27554,26305
17075,2000,16559,15890
17077,2000,30584,29343
17079,2000,5378,5127
17081,2000,19260,18303
17083,2000,11234,10758
17085,2000,12900,12383
17087,2000,4892,4606
17089,2000,223778,214910
17091,2000,52870,50620
17093,2000,32368,31303
17095,2000,28228,26959
17097,2000,341564,330057
17099,2000,56839,54009
17101,2000,8162,7734
17103,2000,17855,17144
17105,2000,19677,18977
17107,2000,15173,14617
17109,2000,16993,16313
17111,2000,151416,145988
17113,2000,86307,83643
17115,2000,56346,53613
17117,2000,24597,23566
17119,2000,133862,128440
17121,2000,20892,19780
17123,2000,7065,6793
17125,2000,7971,7540
17127,2000,7274,6914
17129,2000,7081,6846
17131,2000,8910,8448
17133,2000,15662,15184
17135,2000,14267,13516
17137,2000,18995,18256
17139,2000,7524,7230
17141,2000,27240,26147
17143,2000,92142,88277
17145,2000,10374,9694
17147,2000,9130,8824
17149,2000,8579,8146
17151,2000,2051,1924
17153,2000,3120,2914
17155,2000,3171,3023
17157,2000,15339,14620
17159,2000,7921,7467
17161,2000,78310,75000
17163,2000,120586,114930
17165,2000,11870,11099
17167,2000,106380,102745
17169,2000,4020,3828
17171,2000,3009,2873
17173,2000,11810,11266
17175,2000,2914,2750
17177,2000,26204,24917
17179,2000,67858,65294
17181,2000,8428,7918
17183,2000,39183,37040
17185,2000,6946,6608
17187,2000,10150,9728
17189,2000,8432,8120
17191,2000,8472,8004
17193,2000,7556,7200
17195,2000,31166,29937
17197,2000,278890,267518
17199,2000,30161,28448
17201,2000,147775,141496
17203,2000,18952,18350
18001,2000,16558,16092
18003,2000,175714,170831
18005,2000,37297,36292
18007,2000,4829,4686
18009,2000,7031,6719
18011,2000,24257,23735
18013,2000,7871,7638
18015,2000,10496,10195
18017,2000,20652,20003
18019,2000,52473,50559
18021,2000,12852,12309
18023,2000,16464,15970
18025,2000,5113,4861
18027,2000,14093,13661
18029,2000,24464,23639
18031,2000,13427,13117
18033,2000,21700,21033
18035,2000,58650,56569
18037,2000,22149,21645
18039,2000,96750,94152
18041,2000,12407,11854
18043,2000,38036,36709
18045,2000,8654,8377
18047,2000,11316,10911
18049,2000,10764,10318
18051,2000,16736,16167
18053,2000,34828,33419
18055,2000,16023,15241
18057,2000,101251,99314
18059,2000,30389,29686
18061,2000,18715,18075
18063,2000,57464,56303
18065,2000,23348,22420
18067,2000,41485,40135
18069,2000,20784,20130
18071,2000,21696,21102
18073,2000,14701,14186
18075,2000,10978,10600
18077,2000,16169,15625
18079,2000,14048,13639
18081,2000,63225,61843
18083,2000,19478,18741
18085,2000,39242,38248
18087,2000,16887,16479
18089,2000,225445,216712
18091,2000,53804,51890
18093,2000,22922,21971
18095,2000,63445,61399
18097,2000,455135,442211
18099,2000,23304,22564
18101,2000,5073,4897
18103,2000,17567,16957
18105,2000,63749,61992
18107,2000,19663,19134
18109,2000,35539,34647
18111,2000,7256,7036
18113,2000,24416,23697
18115,2000,2985,2881
18117,2000,9587,9154
18119,2000,10742,10405
18121,2000,8017,7728
18123,2000,9492,9036
18125,2000,6349,6120
18127,2000,77453,75181
18129,2000,13852,13419
18131,2000,6760,6455
18133,2000,17104,16599
18135,2000,13531,13004
18137,2000,13712,13349
18139,2000,9459,9203
18141,2000,134193,129774
18143,2000,11277,10894
18145,2000,23544,22906
18147,2000,10979,10580
18149,2000,10834,10300
18151,2000,18468,17897
18153,2000,9225,8728
18155,2000,5009,4759
18157,2000,77923,75826
18159,2000,8674,8436
18161,2000,3791,3670
18163,2000,89699,86739
18165,2000,8134,7746
18167,2000,50774,48666
18169,2000,18071,17513
18171,2000,4483,4359
18173,2000,28416,27452
18175,2000,14032,13489
18177,2000,35502,34175
18179,2000,14871,14499
18181,2000,13584,13169
18183,2000,17082,16635
19001,2000,4453,4335
19003,2000,2330,2242
19005,2000,7943,7676
19007,2000,6330,6056
19009,2000,3410,3311
19011,2000,13663,13352
19013,2000,68420,66536
19015,2000,14581,14270
19017,2000,12772,12460
19019,2000,10652,10355
19021,2000,10249,10010
19023,2000,7978,7724
19025,2000,5335,5188
19027,2000,11933,11667
19029,2000,7870,7589
19031,2000,10354,10122
19033,2000,25172,24446
19035,2000,6948,6787
19037,2000,6863,6430
19039,2000,4867,4715
19041,2000,9936,9694
19043,2000,10207,9862
19045,2000,26060,25176
19047,2000,8894,8675
19049,2000,23495,23049
19051,2000,4154,4019
19053,2000,4261,4120
19055,2000,10148,9864
19057,2000,22248,21477
19059,2000,9431,9175
19061,2000,48376,46822
19063,2000,6003,5833
19065,2000,11183,10765
19067,2000,8483,8172
19069,2000,5684,5530
19071,2000,4224,4125
19073,2000,4978,4816
19075,2000,6505,6357
19077,2000,6043,5885
19079,2000,8928,8708
19081,2000,6307,6171
19083,2000,9481,9193
19085,2000,8066,7852
19087,2000,10540,10231
19089,2000,5114,4954
19091,2000,5262,5128
19093,2000,3981,3895
19095,2000,8824,8641
19097,2000,11120,10723
19099,2000,19769,19284
19101,2000,9018,8762
19103,2000,67120,65893
19105,2000,10394,10124
19107,2000,5810,5626
19109,2000,8821,8598
19111,2000,18601,17776
19113,2000,110907,108407
19115,2000,6236,6054
19117,2000,4732,4602
19119,2000,6351,6225
19121,2000,7599,7366
19123,2000,11507,11237
19125,2000,17580,17192
19127,2000,20554,20001
19129,2000,7882,7726
19131,2000,5445,5297
19133,2000,4974,4821
19135,2000,3895,3776
19137,2000,5992,5799
19139,2000,22224,21628
19141,2000,7751,7576
19143,2000,3603,3515
19145,2000,8334,8070
19147,2000,5193,5074
19149,2000,13476,13137
19151,2000,4190,4077
19153,2000,214484,209530
19155,2000,47977,46857
19157,2000,10338,10062
19159,2000,2581,2505
19161,2000,5944,5791
19163,2000,85499,82756
19165,2000,7066,6902
19167,2000,17576,17239
19169,2000,46236,45430
19171,2000,9217,8909
19173,2000,3478,3367
19175,2000,6555,6338
19177,2000,3987,3861
19179,2000,17831,17203
19181,2000,23477,22981
19183,2000,11286,11041
19185,2000,3233,3136
19187,2000,19865,19269
19189,2000,6436,6307
19191,2000,12139,11835
19193,2000,55308,53888
19195,2000,4352,4225
19197,2000,7574,7378
20001,2000,7167,6846
20003,2000,4073,3906
20005,2000,8405,8043
20007,2000,2657,2586
20009,2000,14319,13848
20011,2000,8214,7908
20013,2000,5432,5170
20015,2000,30625,29427
20017,2000,1571,1526
20019,2000,1892,1811
20021,2000,10822,10314
20023,2000,1613,1572
20025,2000,1194,1161
20027,2000,4557,4410
20029,2000,5291,5101
20031,2000,4674,4501
20033,2000,1034,1011
20035,2000,17577,16796
20037,2000,18904,18087
20039,2000,1730,1686
20041,2000,10264,9941
20043,2000,4116,3920
20045,2000,58565,56989
20047,2000,1697,1653
20049,2000,1432,1363
20051,2000,15342,14947
20053,2000,3162,3057
20055,2000,20222,19709
20057,2000,15838,15428
20059,2000,13198,12719
20061,2000,11335,10805
20063,2000,1576,1541
20065,2000,1438,1398
20067,2000,3722,3617
20069,2000,2996,2919
20071,2000,762,737
20073,2000,3721,3547
20075,2000,1274,1240
20077,2000,3178,3063
20079,2000,17596,16988
20081,2000,2081,2034
20083,2000,1006,973
20085,2000,6657,6385
20087,2000,9768,9398
20089,2000,1892,1843
20091,2000,263190,255705
20093,2000,2031,1976
20095,2000,4248,4098
20097,2000,1610,1566
20099,2000,11342,10799
20101,2000,1117,1086
20103,2000,31310,30074
20105,2000,1900,1848
20107,2000,4740,4515
20109,2000,1601,1546
20111,2000,18572,18002
